sample	BLCA	CESC	ESCA	HNSC	LUSC
Case_01	0.0038032117	0.004277106	0.18180618	0.5517726	0.25834092
Case_02	0.0015658282	0.0010654889	0.10004002	0.60594106	0.29138756
Case_03	6.460538e-05	7.032917e-06	0.014588133	0.5181974	0.4671428
Case_04	0.00011529107	0.000525807	0.0003472339	0.99889696	0.00011464528
Case_05	0.003844123	0.0073436475	0.00575887	0.9766802	0.0063731386
Case_06	0.005554202	0.0022223205	0.055173904	0.54943985	0.3876098
Case_07	2.5607549e-06	3.0786348e-06	0.004620296	0.9890393	0.0063347453
Case_08	9.26023e-06	6.080179e-05	0.01810181	0.9803049	0.0015232721
Case_09	0.00016215739	1.896822e-05	0.028687371	0.11606437	0.8550671
Case_10	7.894725e-05	0.00013780862	0.013466122	0.9706955	0.0156215485
Case_11	0.016198155	0.02579522	0.18359737	0.63436306	0.14004625
Case_12	0.0017594958	0.0015814003	0.026899926	0.91868275	0.051076397
Case_13	0.00012363314	0.0002054827	0.01322588	0.9743972	0.0120477695
Case_14	0.0032160727	0.0013577873	0.013029027	0.88888645	0.0935106
Case_15	7.820668e-05	0.0028945552	3.380552e-05	0.996992	1.3924014e-06
Case_16	0.0003637669	0.0003377856	0.01591827	0.9398311	0.043549065
Case_17	0.0003993811	0.0030791794	0.0036900537	0.9923764	0.00045511642
Case_18	0.047590453	0.13803132	0.0150324	0.7910055	0.00834029
Case_19	6.3650165e-05	0.00027586872	0.051675443	0.938282	0.009703053
Case_20	9.277529e-06	1.2690479e-06	0.0062229843	0.76393926	0.22982715
Case_21	0.0005590258	0.008504467	0.0047322414	0.98593163	0.0002725637
Case_22	0.009041039	0.047168482	0.17651102	0.74415106	0.023128422
Case_23	0.00017961308	5.3889416e-05	0.00055007194	0.9877001	0.0115163475
Case_24	0.0009836837	0.0027962304	0.08500383	0.8791809	0.03203533
Case_25	0.0033967958	0.1647832	0.0009650176	0.8308332	2.173238e-05
Case_26	0.00029715532	0.00027770683	0.02836021	0.9266863	0.0443786
Case_27	0.00054318405	0.00082662964	0.004182734	0.9889693	0.005478104
Case_28	2.5311096e-05	6.75689e-05	0.73272365	0.12718293	0.14000057
Case_29	8.774437e-06	1.0447684e-05	0.07047607	0.86604154	0.06346317
Case_30	1.4915246e-05	7.45265e-06	0.008297857	0.93605953	0.055620234
Case_31	0.00032825195	0.02417994	0.0013789762	0.9741018	1.1048344e-05
TCGA-V5-A7RC_met	8.8530374e-05	0.0005702146	0.90682125	0.04851046	0.04400954
TCGA-KU-A6H7_met	0.00010849437	0.00013547359	1.8472287e-05	0.9996363	0.000101274
TCGA-UF-A71A_met	3.988818e-06	4.207962e-07	0.0035351315	0.8070575	0.18940304
TCGA-UC-A7PG_met	0.0026896633	0.9572413	0.00045195382	0.039616622	4.0947276e-07
TCGA-HM-A6W2_met	0.1558247	0.72381294	0.073290356	0.033525776	0.01354624
TCGA-DK-A1A6_met	0.96911365	1.4329695e-05	1.7792166e-10	0.00041566632	0.030456388
VS24-00971	8.9113186e-05	0.0004666395	0.0016008229	0.9974371	0.0004062137
VS24-00656	0.053085342	0.00012077993	1.6383696e-05	0.10107448	0.84570295
VS23-08340	3.4975976e-05	1.1344775e-07	0.00010202365	0.01939373	0.98046917
VS23-13582	0.9875163	0.00034588188	4.3805386e-09	0.0028530306	0.009284808
VN24-00029	0.0010278882	0.0095980335	0.49295574	0.4744029	0.02201549
VS24-09097	0.006704343	0.016733795	0.019514618	0.9430992	0.013947989
VS22-12400	4.074605e-05	0.00029265313	0.86877507	0.094916925	0.03597461
VS23-35373	0.9701055	0.0013412522	1.47557e-07	0.0048934096	0.023659736
VS23-13054	0.9895201	3.2583765e-05	1.14285706e-10	0.0007339063	0.009713366
VS23-50255	0.0011814531	0.000459114	0.00028505677	0.9932239	0.0048504616
VS19-46763	6.242518e-05	1.7656778e-07	7.235448e-05	0.024912285	0.9749527
VS23-30869	0.9663254	0.00097895	1.2625928e-07	0.0022443153	0.030451253
VS22-25112	0.019537881	1.336639e-05	4.134642e-06	0.055041235	0.9254034
VS23-48103	0.025927676	0.038568467	0.09736088	0.7287961	0.109346874
VS24-02743	0.07415675	0.90913427	0.0038318913	0.012553819	0.00032335203
