sample	BLCA	CESC	ESCA	HNSC	LUSC
TCGA-IC-A6RF_normal	5.693363e-06	0.00018653487	0.8303558	0.16635662	0.0030953782
TCGA-L5-A4OM_normal	0.01797152	0.10054819	0.7252624	0.09267201	0.06354595
TCGA-IG-A3I8_normal	0.003998832	0.028807808	0.8708784	0.059934933	0.03638008
TCGA-22-5474_normal	0.03729861	0.0025829512	0.010246946	0.06233961	0.8875319
TCGA-39-5030_normal	0.043321367	0.014890333	0.11325991	0.095840074	0.7326883
TCGA-22-4613_normal	0.05597243	0.012749979	0.06294321	0.07334067	0.7949936
TCGA-22-5485_normal	0.057176754	0.023678835	0.13546628	0.102576084	0.6811021
TCGA-39-5036_normal	0.05052023	0.01817657	0.12060101	0.07164556	0.73905665
TCGA-22-5491_normal	0.043303315	0.00903135	0.056683242	0.063657254	0.8273249
TCGA-22-5492_normal	0.057212118	0.0114004845	0.050453562	0.052780516	0.8281534
TCGA-39-5011_normal	0.0544157	0.028573971	0.19273615	0.08778451	0.6364897
TCGA-33-4589_normal	0.03841443	0.012931296	0.11219362	0.07556398	0.7608967
TCGA-18-5595_normal	0.07620269	0.029030977	0.11749031	0.1060021	0.6712739
TCGA-22-5480_normal	0.037346467	0.013381916	0.11880213	0.09170427	0.7387652
TCGA-18-5592_normal	0.055059668	0.016378667	0.0914886	0.069862224	0.7672109
TCGA-39-5037_normal	0.060286928	0.022699889	0.122720905	0.09671	0.69758224
TCGA-39-5029_normal	0.059207615	0.023899732	0.13636859	0.09006492	0.6904592
TCGA-33-4586_normal	0.057609554	0.02069911	0.11668285	0.092962146	0.7120463
TCGA-22-5478_normal	0.050896082	0.008759269	0.04064141	0.05820499	0.8414982
TCGA-22-4601_normal	0.042176194	0.0061779153	0.033458345	0.062667266	0.85552025
TCGA-18-4721_normal	0.054544315	0.013813248	0.07245068	0.08499311	0.77419865
TCGA-33-4582_normal	0.045776423	0.020081498	0.15717313	0.07982414	0.6971448
TCGA-39-5019_normal	0.08203636	0.021995721	0.07441975	0.06986653	0.7516817
TCGA-39-5016_normal	0.05944466	0.01749012	0.08991304	0.08450283	0.7486493
TCGA-43-3920_normal	0.11758579	0.013068689	0.012951427	0.13707031	0.71932375
TCGA-39-5035_normal	0.05397929	0.009881203	0.042144872	0.08919918	0.80479544
TCGA-39-5034_normal	0.037825044	0.012274013	0.107239686	0.08964376	0.7530175
TCGA-22-5482_normal	0.049622193	0.016309014	0.105076216	0.08696035	0.7420323
TCGA-18-3417_normal	0.0422613	0.010694826	0.07505657	0.073870204	0.7981171
TCGA-34-5929_normal	0.07502977	0.041256685	0.19014743	0.09938444	0.59418166
TCGA-22-5473_normal	0.062068824	0.01685684	0.07971967	0.06705007	0.77430457
TCGA-39-5039_normal	0.04973967	0.013906366	0.0856308	0.0920668	0.7586564
TCGA-43-5668_normal	0.07101971	0.025907252	0.11541848	0.06738165	0.7202729
TCGA-22-5471_normal	0.055418625	0.0061484887	0.021374589	0.052386194	0.8646721
TCGA-43-3394_normal	0.06499643	0.011939208	0.044226527	0.061726984	0.8171108
TCGA-22-5477_normal	0.055925753	0.006868362	0.024453364	0.053049114	0.8597034
TCGA-22-5472_normal	0.058435157	0.010037896	0.040843606	0.058841795	0.8318415
TCGA-39-5021_normal	0.05422483	0.022608388	0.14340582	0.08838822	0.6913728
TCGA-33-4583_normal	0.047955796	0.0131643405	0.0824751	0.08206422	0.7743405
TCGA-33-4566_normal	0.0935935	0.046205178	0.14630504	0.14435294	0.56954336
TCGA-43-6771_normal	0.057960346	0.018191412	0.09813346	0.08555262	0.7401622
TCGA-22-5489_normal	0.06416291	0.009464847	0.032047383	0.055201907	0.83912295
TCGA-22-4599_normal	0.049485687	0.007668503	0.03579343	0.065886766	0.8411656
TCGA-39-5031_normal	0.049415223	0.010423023	0.05625763	0.062380422	0.8215236
TCGA-39-5028_normal	0.03968863	0.0038608427	0.01835797	0.06014198	0.8779506
TCGA-CV-7263_normal	0.0030587967	0.02439444	0.031737693	0.9368142	0.0039948667
TCGA-CV-5436_normal	0.0038357514	0.04667406	0.080663584	0.86413914	0.004687486
TCGA-CV-6962_normal	0.00038539333	0.002875651	0.21411704	0.7652178	0.017404137
TCGA-CV-6952_normal	0.0008759968	0.009755727	0.02715481	0.96019554	0.0020179625
TCGA-CV-5973_normal	0.004530119	0.03722722	0.056151524	0.8959431	0.0061479947
TCGA-CV-7178_normal	0.0034346345	0.030055972	0.20566198	0.7469243	0.013923083
TCGA-CV-6436_normal	0.0030562733	0.029610187	0.046751067	0.91655505	0.0040274113
TCGA-CV-7245_normal	0.00552476	0.020335333	0.04590517	0.91176677	0.016468007
TCGA-CV-7238_normal	0.006213049	0.04738532	0.10906486	0.8260292	0.0113075925
TCGA-CV-6936_normal	0.00039199213	0.004078198	0.008753361	0.9859687	0.0008077143
TCGA-CV-6956_normal	0.001182029	0.011541812	0.041070946	0.94278365	0.003421489
TCGA-CV-6951_normal	0.0056623844	0.05482208	0.10186588	0.83005	0.007599651
TCGA-CV-6943_normal	0.0008369416	0.0059044748	0.015976548	0.9748453	0.0024367683
TCGA-CV-5440_normal	0.0063797645	0.018558685	0.048100464	0.90422887	0.022732234
TCGA-CV-5971_normal	0.0018349634	0.012919739	0.029287107	0.95190895	0.0040492103
