sample	BLCA	CESC	ESCA	HNSC	LUSC
32395_T_F112331-F94490	0.0064774402	0.0019513577	0.00325461	0.9295413	0.058775283
32655_T_F111504	0.00035569805	0.0012407565	0.004001775	0.992716	0.0016856933
33373_T_F94422	0.040202748	0.5781069	0.020797847	0.3598229	0.0010696783
36067_T_F94494	0.00020954202	0.005345636	0.00012812101	0.9943119	4.8282877e-06
40168_T_F94519	0.008848242	0.009402518	0.27691823	0.3377626	0.3670684
41813_T_F94516	6.609681e-06	1.3940229e-05	0.0015132193	0.99671906	0.001747194
F138888	0.00037025998	0.0026396953	0.9066363	0.053385478	0.036968313
F148364	9.686029e-05	8.954054e-07	0.0005405466	0.030932395	0.96842927
F148365	0.00011039892	2.6393098e-05	0.0015396558	0.9556947	0.042628888
F148367	6.8138885e-05	2.5690046e-08	3.294162e-06	0.016335836	0.98359275
F148369	1.2482549e-06	0.0023321728	0.0019000889	0.9957663	1.6260938e-07
F148370	0.00038533614	0.002536179	0.0005694525	0.9963877	0.00012130415
F148374	3.422346e-06	1.1716914e-05	0.2602188	0.69880176	0.04096421
F148375	7.7710826e-07	2.9771846e-10	3.7878272e-06	0.0097637465	0.9902317
F148376	0.0023025672	0.011397583	0.76378137	0.16879027	0.05372814
F148377	5.0615574e-05	3.9571885e-05	4.986315e-06	0.99983823	6.656954e-05
