sample	BLCA	CESC	ESCA	HNSC	LUSC	window_size	coverage
32395_T_F112331-F94490	0.112738885	0.030369595	0.0016460549	0.81345946	0.04178603	0	0.1
32655_T_F111504	0.037697982	0.0062180827	0.018564107	0.38238147	0.5551384	0	0.1
33373_T_F94422	0.06778654	0.027049122	0.004217067	0.83992535	0.06102194	0	0.1
36067_T_F94494	0.04049595	0.022738548	0.005970353	0.8878272	0.04296799	0	0.1
40168_T_F94519	0.018042613	0.024714522	0.025746193	0.885934	0.045562696	0	0.1
41813_T_F94516	0.016212683	0.009704083	0.0047075767	0.9393499	0.030025704	0	0.1
F138888	0.004738028	0.0032242506	0.008677472	0.9343703	0.048989937	0	0.1
F148364	0.052929975	0.007363688	0.0057091312	0.65243644	0.28156075	0	0.1
F148365	0.029852346	0.008626216	0.006738194	0.83942676	0.11535655	0	0.1
F148367	0.008594595	0.0031633084	0.022346301	0.76221883	0.2036769	0	0.1
F148369	0.031174766	0.018786106	0.0028171353	0.9237674	0.0234546	0	0.1
F148370	0.0155096045	0.007431394	0.009736719	0.8929865	0.07433571	0	0.1
F148374	0.053265225	0.010433604	0.009720553	0.6561983	0.27038226	0	0.1
F148375	0.028831113	0.0014283808	0.0034430525	0.26045656	0.7058409	0	0.1
F148376	0.024931733	0.012245806	0.011520986	0.855408	0.09589354	0	0.1
F148377	0.01624586	0.0161246	0.02933986	0.86934114	0.06894866	0	0.1
32395_T_F112331-F94490	0.07631251	0.018585978	0.0022462995	0.84374845	0.059106767	50	0.1
32655_T_F111504	0.037821084	0.010957413	0.025129188	0.5481086	0.37798375	50	0.1
33373_T_F94422	0.06589062	0.024330914	0.0035910413	0.8475792	0.058608282	50	0.1
36067_T_F94494	0.041709553	0.02625315	0.009105023	0.8715851	0.05134718	50	0.1
40168_T_F94519	0.048623405	0.025730617	0.017033992	0.7837525	0.12485949	50	0.1
41813_T_F94516	0.018070348	0.0053336206	0.0025462501	0.92448026	0.049569447	50	0.1
F138888	0.0052948855	0.0028286316	0.010479535	0.90719724	0.0741996	50	0.1
F148364	0.034395304	0.013008264	0.023169244	0.71019363	0.21923354	50	0.1
F148365	0.022624671	0.013019214	0.019555232	0.8468643	0.09793658	50	0.1
F148367	0.012333621	0.0048322277	0.019779798	0.7794846	0.18356967	50	0.1
F148369	0.029328106	0.019358732	0.0036305827	0.92219627	0.02548622	50	0.1
F148370	0.010828658	0.00864595	0.009260334	0.9364075	0.03485755	50	0.1
F148374	0.048749868	0.010173832	0.012956085	0.6171433	0.31097698	50	0.1
F148375	0.027389761	0.0019310062	0.004642165	0.39433926	0.57169783	50	0.1
F148376	0.02642944	0.010714643	0.009570599	0.84451383	0.10877148	50	0.1
F148377	0.00957971	0.021967374	0.07426678	0.8515907	0.042595416	50	0.1
32395_T_F112331-F94490	0.05742409	0.020301789	0.0032876637	0.87102336	0.047963127	100	0.1
32655_T_F111504	0.040649995	0.010320847	0.017071234	0.5764612	0.35549667	100	0.1
33373_T_F94422	0.06417585	0.024420245	0.0040659434	0.84597284	0.061365165	100	0.1
36067_T_F94494	0.03801832	0.02522974	0.011240204	0.8692966	0.056215078	100	0.1
40168_T_F94519	0.042385783	0.029109234	0.016896082	0.8220241	0.08958485	100	0.1
41813_T_F94516	0.017718164	0.004874622	0.0020043699	0.93162227	0.043780565	100	0.1
F138888	0.005477708	0.002694447	0.010372542	0.8997549	0.08170045	100	0.1
F148364	0.033070825	0.015698012	0.031529095	0.71211123	0.20759085	100	0.1
F148365	0.020981621	0.012528978	0.019603947	0.85078305	0.09610242	100	0.1
