sample	BLCA	CESC	ESCA	HNSC	LUSC
Toronto 6	0.00019412719	3.4964958e-06	0.0014929307	0.033276554	0.965033
Toronto 16	0.00128518	8.141576e-05	0.009624843	0.040075757	0.9489328
Toronto 20	3.2324187e-05	1.9366933e-08	5.96996e-06	0.010293273	0.98966837
Toronto 23	0.007877356	0.96658987	0.00027084752	0.025260203	1.7155423e-06
Toronto 27	3.1601403e-06	3.070688e-09	1.5830778e-05	0.014859136	0.98512185
Toronto 50	0.00016144938	1.2481333e-07	8.621828e-06	0.034242187	0.9655876
Toronto 55	0.00021139171	2.1939811e-06	0.00061288686	0.037482034	0.9616915
Toronto 56	0.0007674935	1.35672735e-05	0.0013804209	0.06347602	0.93436253
Toronto 57	0.0047361236	0.00047821156	0.02072702	0.09009147	0.8839671
Toronto 62	0.0007972151	2.7174156e-06	0.00010012185	0.030717596	0.9683823
Toronto 64	0.00081280427	3.4954457e-05	0.0034887304	0.20099425	0.7946693
Toronto 66	0.028766204	0.015991062	0.016290339	0.8464095	0.09254295
Toronto 85	0.00025824353	3.3883385e-05	0.03209206	0.08720054	0.88041514
Toronto 86	0.00026070926	6.034993e-08	1.2186808e-06	0.017518539	0.98221946
Toronto 107	0.0042046485	0.00010793155	0.002300902	0.032494668	0.96089184
Toronto 113	0.00013692553	1.4228696e-07	1.6811262e-05	0.024680898	0.9751652
Toronto 115	0.00059569697	2.4679605e-06	0.00015061873	0.024717895	0.9745334
Toronto 118	0.0015883439	1.0152708e-05	0.00027739475	0.035822306	0.9623018
Toronto 121	0.00032843434	4.8888945e-05	0.039086252	0.15916628	0.80137014
Toronto 122	3.819559e-05	1.2384952e-07	8.303172e-05	0.040192574	0.95968604
Toronto 123	0.0022006044	9.182395e-05	0.0043411106	0.0796162	0.9137503
Toronto 134	0.050524574	0.0018157628	0.0027757124	0.20543788	0.739446
Toronto 144	0.0095594935	0.0003052347	0.0022174595	0.16612096	0.82179683
Toronto 149	2.808675e-06	2.4844506e-09	1.3362432e-05	0.016895605	0.9830882
Toronto 152	0.0011273017	7.757863e-05	0.012329384	0.06838034	0.9180854
Toronto 162	0.0004630603	6.434672e-06	0.00079763186	0.023316557	0.97541636
Toronto 179	0.001128598	2.2495102e-05	0.001812469	0.054400437	0.94263595
Toronto 193	0.0014929605	3.8953054e-05	0.0023493445	0.047814146	0.94830453
Toronto 198	8.912766e-05	1.18460974e-07	2.4886756e-05	0.017456142	0.98242974
Toronto 200	0.0012928011	4.5114048e-06	0.00010375845	0.020380722	0.97821826
Toronto 225	7.688299e-05	1.3043672e-06	0.001412342	0.044820808	0.95368874
Toronto 247	6.1950846e-07	1.0261647e-11	2.5248465e-08	0.0071504414	0.992849
Toronto 248	0.00076722604	2.0812626e-05	0.0024983836	0.023288324	0.97342527
Toronto 252	4.3953813e-05	2.3596222e-08	4.0283676e-06	0.017515011	0.98243713
Toronto 254	0.0050384784	0.0008605799	0.045120522	0.13181186	0.8171686
Toronto 255	0.007778086	0.0012786667	0.037001055	0.17271622	0.781226
Toronto 260	0.00026356807	4.6039537e-07	3.5473233e-05	0.019143669	0.98055685
Toronto 263	7.7207136e-05	1.2960173e-07	2.369681e-05	0.09045146	0.9094475
Toronto 268	0.0072828084	0.0019302435	0.06793109	0.2156453	0.70721054
Toronto 270	0.011976185	0.00074355083	0.00505549	0.25993145	0.72229326
Toronto 271	0.00046865683	7.4258255e-06	0.0012328301	0.077148	0.9211431
