sample	BLCA	CESC	ESCA	HNSC	LUSC
VS23-25632	0.00043838733	0.025650756	0.6798743	0.292509	0.0015275517
VS24-2037	0.005112781	5.095986e-05	0.00049065676	0.03187924	0.9624664
VS23-42287	0.9685985	0.00051517994	4.2216676e-08	0.003006004	0.027880361
VS23-19653	0.9690262	0.000633852	5.6162378e-08	0.002934069	0.027405782
VS24-00539	0.0076381154	0.93896675	0.0027340923	0.05065266	8.435908e-06
VS24-04469	0.46039522	0.37419575	0.004854043	0.13360777	0.026947176
VS23-41401	0.0032849545	0.0002455373	0.0009632949	0.8385226	0.15698363
VS23-49001	4.8923666e-05	0.00033754366	0.22904427	0.75287455	0.01769475
VS24-3217	0.00026138578	1.6860051e-06	0.00028025304	0.02993091	0.9695257
VS23-45231	7.5099975e-05	3.9534743e-08	4.705634e-06	0.012281571	0.9876386
VS24-00971	8.9113106e-05	0.00046663903	0.0016008199	0.9974371	0.00040621232
VS24-00656	0.05308542	0.00012077959	1.6383585e-05	0.101074435	0.84570295
VS23-08340	3.4976012e-05	1.1344775e-07	0.00010202336	0.019393712	0.98046917
VS23-13582	0.9875163	0.00034588188	4.3805386e-09	0.002853033	0.0092848
VN24-00029	0.0010278836	0.009597981	0.49295586	0.47440282	0.022015478
VS24-09097	0.0067043565	0.01673382	0.019514624	0.9430992	0.013947994
VS22-12400	4.074609e-05	0.00029265342	0.86877507	0.094916925	0.03597455
VS23-35373	0.9701055	0.0013412528	1.4755715e-07	0.004893414	0.023659736
VS23-13054	0.9895202	3.258383e-05	1.1428572e-10	0.0007339064	0.009713356
VS23-50255	0.0011814525	0.00045911488	0.00028505706	0.9932239	0.004850455
VS19-46763	6.242501e-05	1.7656662e-07	7.235415e-05	0.024912234	0.9749528
VS23-30869	0.9663254	0.0009789509	1.2625951e-07	0.0022443174	0.030451253
VS22-25112	0.019537838	1.3366376e-05	4.134642e-06	0.055041235	0.9254034
VS23-48103	0.025927652	0.03856849	0.09736107	0.72879595	0.10934689
