sample	BLCA	CESC	ESCA	HNSC	LUSC
VOA14466a	0.032984205	0.89632833	0.0133557115	0.057036303	0.0002953386
VOA17029a	0.0031051487	0.9738365	0.00032375884	0.02273438	3.4335787e-07
VOA18404a	0.5850796	0.07734979	0.0021828024	0.14423451	0.19115329
VOA16804a	0.005793329	0.9745171	0.0011477958	0.018539548	2.1825344e-06
VOA16514a	0.04163267	0.876108	0.0520751	0.02929424	0.0008899798
B-155	0.9660818	0.0060446453	9.24749e-07	0.01358355	0.014289089
B-167-T	0.92509764	0.008719511	1.3583517e-05	0.002335233	0.06383403
LT17-018-TB1	0.008492255	0.000246109	0.002745763	0.019330641	0.9691853
NASO-006-1	0.11818695	0.055235974	0.004948722	0.7795801	0.042048194
LT19-031-TB1	0.00021996167	6.088968e-07	4.436008e-05	0.075086564	0.92464846
LT15-0018-TB1	0.09904806	0.019946354	0.033372603	0.10052205	0.7471109
LT18-008-TB1	0.00017607475	4.964094e-06	0.0021393339	0.081181705	0.9164979
NASO-001-1	0.0014412461	0.0044477032	0.073460385	0.8900901	0.030560557
LT19-022-TB1	1.4548771e-05	1.2993781e-06	0.01860702	0.059693556	0.92168367
NASO-007-1	0.0066842716	0.014778702	0.025786301	0.9345501	0.018200621
NASO-004-1	0.0016907295	0.005408643	0.0039991196	0.98618025	0.0027211746
NASO-009-1	0.004286607	0.003648294	0.011197879	0.9571822	0.023684973
NASO-010-1	0.00011404015	0.00012075716	0.00023396841	0.99882907	0.0007022246
NASO-002-1	0.0019758337	0.0001804833	0.0006822203	0.9307113	0.06645011
NASO-003-1	0.036852162	0.0110487025	0.026365098	0.63987476	0.28585932
