sample	BLCA	CESC	ESCA	HNSC	LUSC
VS23-27693	0.0067297933	0.9832577	6.094993e-05	0.00995124	3.7158802e-07
VS22-45233	0.0008814971	0.0011569775	0.0017918617	0.9925983	0.0035713878
VS22-33851	0.0012181426	0.0002120591	0.0014517419	0.8923174	0.10480067
VS23-39314	0.13295947	0.6775259	0.0011072189	0.18800883	0.0003985703
VS24-10377	0.082769446	0.005855863	0.0048794644	0.23140076	0.6750945
VS20-21160	2.733351e-05	0.00033258722	9.646238e-05	0.9995295	1.4237324e-05
VS23-35932	0.006113739	0.004389806	0.0056523406	0.9549193	0.028924752
VS22-27497	0.011959305	0.004574724	0.028829856	0.7822349	0.1724012
VS23-42248	0.012697276	0.07783298	0.013785135	0.89254314	0.003141479
VS23-48243	0.0105614755	0.8913371	0.009251943	0.0888088	4.0675153e-05
VS20-37354	0.03674163	0.030105991	0.00545797	0.9067981	0.020896323
VS23-16868	0.01079768	0.0041412422	0.07942259	0.42499873	0.48063973
VS24-10771	0.0017635294	0.0017506408	0.0032019846	0.9822046	0.011079141
VS24-07517	0.029622024	0.19044018	0.0020551987	0.7773063	0.00057630433
VS23-41122	0.0012393915	0.0032158701	0.0005921084	0.9942801	0.00067249575
