sample	UMAP1	UMAP2
DNA methylation of ESCC tissues [B782T]	0.0751009446336699	-1.3729482436805962
DNA methylation of ESCC tissues [B791T]	1.8939628172369007	-0.9141692780352335
DNA methylation of ESCC tissues [C199T]	0.5500793255046962	-1.4077434780656983
DNA methylation of ESCC tissues [B801T]	-1.2179785440133666	-1.663608979188071
DNA methylation of ESCC tissues [B794T]	3.2764094972437396	-0.404333626884297
DNA methylation of ESCC tissues [B798T]	1.0931809103557208	-1.26467991794225
DNA methylation of ESCC tissues [B799T]	-1.7080802528972456	1.61388258404972
DNA methylation of ESCC tissues [B800T]	3.2548652871954937	-0.5614590215152808
DNA methylation of ESCC tissues [B804T]	0.7562820887097776	0.5354399762277641
DNA methylation of ESCC tissues [B783T]	0.8774377755550719	-0.8689505119056438
DNA methylation of ESCC tissues [B785T]	3.672381934043148	0.645643675485558
DNA methylation of ESCC tissues [B786T]	0.4047706296823984	-0.8668417096198032
DNA methylation of ESCC tissues [B788T]	3.7728158762537003	-0.5157000251105086
DNA methylation of ESCC tissues [B797T]	0.21526324224188356	-1.0119216537739948
DNA methylation of ESCC tissues [C200T]	0.7903247399216692	-0.8706519922239873
genomic DNA from ESCC - T1	0.36535398026206845	-0.7739233386013905
genomic DNA from ESCC - T2	0.5894902955008403	0.9460308064373789
genomic DNA from ESCC - T3	0.18161067095186725	0.5241143184018341
genomic DNA from ESCC - T4	3.4185767807757097	0.233968412495955
genomic DNA from ESCC - T5	2.4522363880279996	0.1310314346996705
genomic DNA from ESCC - T6	0.07019350672063349	-1.7688583715804627
genomic DNA from ESCC - T7	1.0752311428504902	-1.1274126287966344
genomic DNA from ESCC - T8	3.525429528806398	0.11955268470137315
genomic DNA from ESCC - T9	0.7113190806406492	-1.5613862253401232
genomic DNA from ESCC - T10	3.288915941498887	0.6576172553606799
genomic DNA from ESCC - T11	1.058066749095069	-0.6073551834612185
genomic DNA from ESCC - T12	1.1536947627477592	-0.3167034598143731
genomic DNA from ESCC - T13	3.2754613906556522	0.20566337382487976
genomic DNA from ESCC - T14	1.0209891393674368	-1.239857549690964
genomic DNA from ESCC - T15	0.5652665345550472	1.1428912905491737
genomic DNA from ESCC - T16	2.7396878598164336	0.48668418801524915
genomic DNA from ESCC - T17	0.2480653679860136	-1.402106132453865
