probe	BLCA	CESC	ESCA	HNSC	LUSC
cg17300544	7.276830761887565e-07	1.2613190403154562e-06	6.460040342448626e-07	6.106607076942771e-06	6.954642988616644e-06
cg07195011	2.081569125000904e-06	1.6708541563159595e-06	1.0727925273057438e-06	4.866577109194914e-06	1.2575197263534065e-06
cg21101720	0.000268490135985644	0.00019445778005049873	0.000974078609457365	0.0037087508181252813	0.004827956232409853
cg01030534	7.546069717977166e-07	1.2314980717056946e-06	9.983712869116034e-07	3.1702918111886635e-06	3.19579383513835e-05
cg22830113	0.0005983291727628171	0.0006325199903198353	0.00014856110616790375	0.0013141424746436314	0.0010444582563133053
cg07352438	5.862554900681882e-07	1.8748393380152438e-06	3.1331461832229124e-06	1.706657410161849e-05	3.087066700834251e-06
cg09670128	2.997417952196324e-06	1.8679905078289316e-06	1.093374108892542e-06	1.0542702336526766e-05	1.3559787658061761e-05
cg22958090	7.008937392231295e-05	5.0235533325997395e-05	1.1551705642450643e-06	0.00020297757253018745	0.00020778536223872823
cg11738485	8.905295662714475e-07	7.863005674180191e-07	4.147807908224943e-06	1.100152716928593e-05	4.69866211160444e-05
cg08781140	0.0005414796359093543	0.0006261914885564579	0.0009724262466977506	0.003560636878273726	0.009181942230010237
cg02899346	9.188599958859233e-07	3.071392698214548e-07	1.7793902244538258e-06	7.621194361079331e-07	4.619882356435845e-06
cg27500148	1.7493202730228807e-07	8.001442053617858e-07	1.1235471285378496e-06	7.568908359505411e-06	1.4512157176435752e-05
cg03686593	3.2027677975610123e-07	1.0008583262695325e-06	2.999099238297498e-07	3.2004930561724266e-06	1.954450491649551e-05
cg01697719	0.0022332534335782837	0.007422802129819956	0.0065027800701682285	0.02630026059165175	0.07007985455832681
cg26858540	9.727122722691384e-07	2.792787784028361e-07	2.0265020356069472e-06	6.95598965958999e-06	1.2384607892957922e-05
cg21479226	7.212445888937768e-07	1.364128923198038e-06	1.2992700720226847e-06	1.2325242769559707e-05	2.585628999109968e-06
cg04996219	1.7763173394147458e-06	1.975793950331206e-06	7.268926766175812e-07	5.46329423303904e-06	2.0104750569893694e-06
cg23179456	1.4389847670948086e-06	1.1697460223647481e-06	3.7845438075945203e-07	2.2357251316300618e-05	6.10832811972184e-05
cg25479788	4.906256826151326e-08	5.19306255451768e-08	7.024643612328282e-07	5.571347135455706e-06	1.1019109314962943e-06
cg23357130	1.801116348879722e-07	8.22393847639824e-07	5.611301655819579e-07	1.1354307820621301e-06	3.0851670052136626e-05
cg11213574	2.139548677262404e-06	1.952358304242452e-06	4.080405692841182e-06	1.7004777637368295e-05	8.57288327874084e-05
cg21535106	1.0739763335603224e-05	5.002247524119596e-06	1.107707019420756e-05	1.2654301899137631e-05	0.00022698116854885653
cg05297854	3.670227331022069e-05	6.957591347315883e-05	0.00037481230874881533	0.0016594428253984006	0.010004511575884152
cg10069493	0.007205396979925354	0.002654501775527933	0.00041716990131703826	0.007046424906275206	0.03158961751535685
cg18675043	0.001994151129911188	0.0020042595763470673	0.002912128114691086	0.00807246698746667	0.026651403606279017
cg19849428	4.8432665812214725e-06	4.55118175024527e-06	1.9962892323077687e-06	2.9414800635017e-05	3.170683096300308e-05
cg26841013	7.55191984338488e-07	2.6500489859326847e-06	3.485497137638016e-06	1.7462101710439272e-05	7.276020977869279e-05
cg17267805	0.0005250739373708768	0.0005944935595228307	0.00011471032592481833	0.0009268130279383512	0.0021286960749256423
cg05835105	2.467580934367112e-06	1.9737350963300317e-06	2.0755012923991955e-05	0.000128456885992847	0.00041982736187355483
cg23398076	3.5023427835234598e-06	1.2227731915392947e-06	1.936310648768952e-06	9.105689694424158e-06	7.833024268632249e-06
cg14866200	0.00037865102113300965	0.0002537617872236098	0.001016479880395309	0.0047770667913505345	0.0006561451180705546
cg16578537	0.010086888731029831	0.009328994570717768	0.002003162461356851	0.030803119822739974	0.03184046186675005
cg13800209	2.092463355100882e-07	1.4644573570416277e-07	1.032439559408571e-06	5.4490472401269585e-06	6.1677943987052674e-06
cg21189438	0.0006745603955744172	0.0008253137325590388	0.0020073776965648447	0.004232138418410613	0.010729866809046768
cg24937727	0.0012710603023282374	0.000503415400488052	0.0006370189979176643	0.018015979487081495	0.0055948738550215624
cg08862890	1.513785651048316e-06	3.695444654225333e-07	1.4600367507772162e-06	8.975429957792657e-06	2.1411028404259012e-05
cg16328106	5.0868796736480706e-05	3.265099092317314e-05	1.2734133493825794e-05	0.00029457970069330486	0.002911013681024919
cg13879483	1.7662857725788684e-05	1.2732608693122317e-05	6.310144285540664e-06	0.0001131770862428283	0.0014181457500863103
cg00421363	1.1210093807012544e-06	2.5052058816792816e-07	1.1645924860093081e-06	1.2371804213001658e-06	6.708455010332637e-06
cg10210594	1.435833995272473e-06	6.541248852709458e-07	3.3686333577431782e-06	1.101109652816845e-05	1.179618334327781e-05
cg07813142	0.0005980811572726452	0.0007251377616597666	0.0012037140798014435	0.0035781965078379584	0.01104362565630538
cg09652652	0.001460489866831267	0.00110931340008392	0.0005171107565575283	0.008021352863579523	0.0016855010962364314
cg14537533	1.078532534822263e-06	1.270204162717725e-06	2.628970130635032e-07	6.6211434877838645e-06	1.1632336848217129e-05
cg05302386	3.346652259508254e-06	7.944944282112232e-07	9.513468497936162e-07	2.8544810361399443e-05	6.936176233547364e-05
cg17510056	1.1279878513259511e-06	1.6614386779978396e-06	4.3273517094544187e-07	2.1834217260852106e-06	2.9942348867550983e-06
cg16642284	9.892647286369183e-07	1.2093756509845566e-06	7.78796490785035e-07	2.5779238281431473e-06	1.0315525887887867e-05
cg22943986	0.0020775220870724452	0.0016017917907279865	0.0011591901042608298	0.0028844453981992048	0.012305771788405764
cg13895235	0.0003793340825519209	0.00022672910340340024	0.0005345242760466107	0.0003546005170228739	0.004758663227005755
cg21126344	1.6431716307274692e-06	6.789970218601393e-06	7.687804331684977e-06	1.7237067690274445e-05	4.4192462325529646e-05
cg14487131	1.1496818437839452e-06	2.3988954336189027e-07	1.3698814340851183e-06	4.9379667042537265e-06	1.5838623140702612e-05
cg27363829	9.406585007017825e-07	3.3086266949075573e-06	2.5577457102610167e-06	3.2045108948530743e-06	1.1495664051139886e-05
cg15006175	8.497885339950328e-07	2.4184391709231036e-07	6.652761221886961e-07	1.4431102881834468e-06	1.4071746376819183e-05
cg27219841	2.5688665658460396e-06	3.191859737623759e-07	2.3833405488443705e-06	7.452565799184185e-06	8.14361500627192e-06
cg14204784	2.623045749301778e-07	7.743461368755859e-08	1.6847904684758052e-07	4.052941090733064e-06	1.682940010435008e-05
cg12019614	1.0383516752267285e-06	1.025952081238589e-06	3.3166885393556835e-06	7.992656300273016e-06	8.76738948053818e-06
cg04948892	0.0005426966961931612	0.0009129929127186643	0.003944931665589593	0.01466094253392839	0.07284363433981411
cg09296001	1.96478494119412e-07	1.0074518869834792e-07	2.371572162795932e-07	2.803201338668071e-06	5.485847250650475e-06
cg06936564	1.078596390687997e-06	1.7700566377731875e-06	1.4896209207626576e-06	1.1495767788381738e-06	4.460486920376816e-05
cg14769786	2.71090139380592e-06	1.332284254639271e-06	3.4293829560089194e-06	1.4864230576105974e-05	8.512249268799454e-05
cg27071152	0.00015499096631700128	8.857508108785884e-05	0.00010467540568967593	0.0006468961099652404	0.0015719175106386275
cg19980771	2.611819356876789e-07	5.303423454755541e-07	1.685176951569424e-07	3.8087358765265256e-06	1.3846650773881031e-05
cg17202313	2.612220775243257e-06	2.025841362667258e-06	1.8922950308597474e-06	3.7608695406763858e-06	2.105349981203791e-05
cg18543270	1.0432536516868928e-06	4.399104837427003e-06	1.2040504812789454e-06	5.890192489716172e-06	1.7482687731567028e-05
cg07393736	0.001179495650523137	0.0012899471983533316	0.00021780687599644465	0.003430657030189934	0.004634958608534845
cg25145765	4.1575002194593757e-07	2.2668010784483543e-07	1.0958204658901953e-07	3.712388182038895e-06	1.2537897578346336e-06
cg26866482	1.8083705456062305e-06	2.399010141997948e-06	1.3207844198967477e-06	3.5715089080112784e-06	9.752546974980402e-06
cg11630939	1.1092059889883378e-06	4.1543193065166074e-07	1.564934445777953e-07	9.996368318597181e-06	8.959683238554532e-06
cg09798888	2.656003851397859e-06	5.883478949509912e-06	1.0383089413199542e-05	1.3599240239620115e-05	0.00013498719653091908
cg14262681	1.1277943141083103e-07	7.222915679797048e-08	1.8625513329533374e-07	5.143375469375544e-07	1.9374280016298818e-06
cg12928379	1.1737391964167232e-06	1.0513413315016429e-06	3.628653126804271e-06	2.2777065354508964e-05	0.00011263595290733092
cg07570470	9.160255904727688e-07	6.456730920352191e-07	1.350643310555899e-06	8.38613550909863e-07	1.2335033652639548e-05
cg07486474	1.2325191660722546e-06	4.3183878734920355e-07	1.909759481154294e-06	2.0397124499507702e-06	4.949371151624221e-06
cg22287064	8.204059859771462e-05	9.409574955682843e-05	0.00015932962159428854	0.00044036503871808464	0.0007199149873385125
cg26479667	8.008336215170608e-07	3.82570802801574e-07	5.828648085665078e-07	9.28341635535769e-07	2.519594961007737e-06
cg24968629	1.541991546354371e-06	1.5034949400838382e-06	1.985459557816158e-07	7.370624096115219e-06	1.4331466419785777e-05
cg06728252	3.1750272208058704e-07	3.784835925255657e-07	7.213638823259407e-07	2.009235193815096e-06	7.672066731907457e-06
cg00665492	0.00024301583295795127	0.00020869583066961182	0.0003488611494019622	0.0004099996582476706	0.0009291700354431431
cg08323075	6.224404148807011e-06	1.8907290005252265e-05	2.7391770981828323e-05	0.0003056573375923222	0.00021963506487146845
cg01565320	2.7598273005935427e-05	3.5892312372514114e-05	6.073693272817593e-05	0.00020331268673601244	0.00010502931357082801
cg23286646	0.005441121980829848	0.0024154996953348017	0.01196089872996481	0.005426899430445929	0.0794433541529952
cg09859398	1.8290300872703113e-06	6.83624406417338e-07	1.166702362522254e-06	7.293175924077966e-06	9.443588598661568e-06
cg03048083	0.000914286956848116	0.0006247453906246392	0.0016740877310877523	0.0008917951987933037	0.004930047763114089
cg01163842	9.479400854040421e-05	0.00012343297975224486	0.00023361935145622682	0.0005149323495083991	0.0013507828983858872
cg07302069	0.0027539013058776617	0.005653723662795755	0.008586488247643728	0.00974041994608342	0.17195422176216651
cg15778745	0.0002861589508577822	0.00042917599317618735	7.91314102186691e-06	0.001076259931326149	0.0012826888742626607
cg22784954	3.2774615121577976e-07	1.8028666249234048e-06	1.8641946900829765e-06	5.048697152556514e-06	1.019847708796151e-05
cg25066665	0.00072112743421485	0.0009539956450812781	0.0016980842072609904	0.004370981104029852	0.011814299385676179
cg05033333	5.164076495418612e-06	6.907575346444261e-06	1.3419748381804374e-05	1.0702294650588584e-05	7.927207187009344e-05
cg17526573	4.916827775354633e-07	6.953739078305321e-07	3.152427316610584e-07	6.272388930902429e-06	2.5203094838207457e-06
cg13484549	1.0939365855211492e-06	1.9079460436650584e-07	1.0871854428979797e-06	8.348898096954827e-07	1.0239796714295312e-05
cg24757310	3.792635483912399e-07	4.67897690525354e-07	2.322562368080039e-06	8.59614059703695e-06	4.145773315989309e-05
cg16364121	1.6394130742997115e-06	1.5482865861726758e-06	2.370735043560057e-06	5.476547815711497e-06	5.795984000000753e-05
cg13885357	9.374438078875836e-05	0.00018704541502643224	0.0003043604972214009	0.003646547809980234	0.015558259503245608
cg23064609	2.121213175428904e-06	2.731200145068835e-07	1.6944072999408587e-06	2.99223908099e-06	5.361012775907982e-06
cg20659435	0.004456899889329406	0.0024273330191772404	0.005137100118365084	0.01934669286677945	0.09967568011388948
cg02837536	1.296208685145038e-06	3.9301496133261474e-07	1.061671265498044e-06	4.015369327960635e-06	3.3615465563839876e-05
cg12473406	1.034004865170246e-06	1.0168184511605283e-06	1.4546148658972635e-06	5.7155996200497495e-06	1.116485676549539e-05
cg05090759	5.177688505520806e-05	0.0001624456154524445	0.00026282392706777457	0.0035105904729596203	0.0015835901043340782
cg15044248	4.676198087424921e-07	8.031768889998902e-07	3.170049853711693e-07	3.0757613030427122e-06	4.041882840966626e-06
cg25485875	1.1166326018423324e-06	2.3907144391849265e-07	1.9565268311247385e-07	7.327647618695643e-06	9.115897662468341e-06
cg07962143	3.1069750240143987e-07	1.1010662256077594e-06	7.660469221717342e-07	1.2279307801515981e-06	2.263140582785317e-05
cg03225210	5.92159984288583e-07	1.375686968793366e-06	1.2161332922633328e-06	6.466721991765789e-07	2.808983911640084e-05
cg06282270	6.394486443117575e-07	2.5351495408720836e-07	8.007708805563007e-07	2.0763383615294422e-06	5.2205420379429494e-06
cg19839798	1.3288513174912474e-07	5.21670342002456e-07	1.6962583359789174e-06	8.344320449324982e-06	1.3044969052911081e-06
cg16734433	1.8127983986793161e-06	2.3500865353243138e-07	7.51714723546959e-07	1.526516155041513e-06	1.0031298467399753e-05
cg11267955	3.0833334264102063e-06	5.309305160021705e-06	4.335373150272416e-07	5.280369469609081e-06	5.436944438665936e-06
