probe	BLCA	CESC	ESCA	HNSC	LUSC
cg17300544	-2.3525852309080886e-07	5.837893662707927e-08	2.1767695969066025e-08	1.1340029514139704e-07	-3.216265423026943e-06
cg07195011	-2.430851337953399e-07	-2.961271302959201e-07	3.2099022024834055e-07	-4.4831283919410935e-07	-2.3778931610679566e-07
cg21101720	3.6324430997751736e-05	-1.165564633808458e-05	-9.740894787569232e-05	0.0011627749594322267	-0.00012067705560344422
cg01030534	8.563226303145987e-08	3.124102070845014e-08	-1.8639317023894098e-07	-1.420703256062028e-06	-2.2028743966528987e-05
cg22830113	-7.920706556404866e-05	-0.0001329486110660838	-2.2493560430234537e-05	0.00044491814812772643	-0.0006172586095277666
cg07352438	-7.622766553638805e-08	-1.9062063315034016e-07	3.631878520904408e-07	9.67230659809637e-07	1.234708764855652e-06
cg09670128	-2.4717284174413654e-07	6.554726364793595e-08	-7.138706453413413e-08	-1.5120834466308962e-07	-7.868099620773617e-06
cg22958090	-3.4743562595185294e-06	1.6341786167739515e-06	3.5200226426654324e-08	-0.00010723339012457699	-7.906656103187526e-05
cg11738485	6.042212807311209e-09	-1.271866684693368e-07	-1.7857294755149744e-06	3.346615573706635e-06	2.1433849141686835e-05
cg08781140	-0.0001259336928717403	3.4769680625856834e-05	3.2691697944073896e-05	-0.0005186592393783939	-0.0037842968392953935
cg02899346	4.34566364276856e-08	-2.8826668199977144e-08	2.651228866033979e-07	-2.8089898591543425e-07	-2.15039944260198e-06
cg27500148	2.3072111656474713e-08	-7.968049619000439e-08	3.11232738860745e-07	3.553697634519626e-06	9.679439182460752e-06
cg03686593	3.588503019735789e-08	-1.2638803485745531e-07	-1.1457413893189993e-07	-1.4413321204553852e-07	1.5129111024922981e-05
cg01697719	-0.00016271286914161466	-0.00045264729064228956	0.0022046052474797764	0.004816427512250812	-0.05172626946240712
cg26858540	-3.767811420862799e-08	-5.0334198211099413e-08	-1.791065059164598e-07	4.3198493814122776e-07	1.0909094818011278e-05
cg21479226	-5.547678859074701e-08	-1.625677235761458e-07	2.832623779647214e-07	1.604241438517562e-06	1.2241593938366878e-07
cg04996219	-1.645606728484239e-07	-3.217247550463265e-07	1.0113344178146882e-07	-3.634406060482043e-07	-5.854630841140018e-07
cg23179456	-9.524595387055968e-08	3.957704197254941e-08	9.621963809380851e-08	2.278619104352231e-06	4.831499197655909e-05
cg25479788	9.498461419933656e-09	8.21482421461961e-09	2.4434296915693683e-07	-1.302829462287436e-06	2.4620316731956136e-07
cg23357130	4.907924979501155e-08	-9.065756472748098e-09	-1.8929683651275342e-07	-3.8843320880110887e-07	-2.5896808951104688e-05
cg11213574	-2.6626565541310043e-07	-1.583314578823547e-07	-9.575470261236063e-07	6.188479488564713e-06	-8.814270436898753e-06
cg21535106	-1.6433333203980106e-06	-1.1740585640573898e-07	4.97999157914153e-06	-4.493330638661863e-06	0.00018809474252267532
cg05297854	-6.908427783409721e-06	-9.115547982787575e-06	-8.01331289442686e-05	0.0005290873472176827	-0.00030003643602483977
cg10069493	-0.0014160582848944613	-5.472297294090822e-05	4.542291823156575e-05	0.002413903842589207	-0.02485381816724498
cg18675043	-0.0005053849085561524	0.00025605129136692996	0.0007045096764420577	-0.000143787987142332	0.016282253100339403
cg19849428	9.155494576806866e-08	-5.156927285954183e-07	4.867724520007944e-07	-2.4063396327989037e-07	-7.262175848978814e-06
cg26841013	2.251299027644649e-08	-1.7765548587789226e-09	-7.223734421540894e-07	6.06851119391294e-06	4.840830188186373e-05
cg17267805	1.702775875983775e-05	-6.078234205902699e-05	-5.491073410297531e-06	0.00012630592877258096	0.0012973483809213349
cg05835105	2.3327349879359928e-07	1.1688788154273766e-07	-3.6299519463867116e-06	5.63384083123708e-05	0.00028532740598143037
cg23398076	-3.4866285849588505e-07	-1.0232135124632614e-07	2.247464815076372e-07	3.1920301125598626e-06	3.6799271492563014e-06
cg14866200	-6.069314822525484e-06	-5.035485087084623e-05	7.482644736683141e-05	0.0007619176521916415	-6.714975313244054e-05
cg16578537	0.0002675936298237502	0.00017632054375702922	-0.00029039919680485583	-0.0041331006160908144	-0.025564376312095193
cg13800209	1.2109533290977081e-08	3.201691783362784e-08	3.741467404905219e-07	6.87526848714981e-07	3.0471158181485935e-07
cg21189438	-2.4941916921079608e-05	-0.00014135299744509665	-0.0007020385270732277	-0.0010608399453121819	-0.0034249538820924387
cg24937727	-5.702737946023717e-05	3.959790466126378e-05	-4.660396363505015e-05	-0.00011102950267741107	-0.003263269026795497
cg08862890	1.2078734385578826e-07	-1.5145961071716397e-08	1.1716085952906408e-07	9.999544494765367e-08	8.424061154972407e-06
cg16328106	-3.60226211384429e-07	-1.550130091061419e-06	5.160469762035547e-06	2.489030522212943e-05	-0.002518511830529313
cg13879483	-6.381141172795423e-08	-6.77524960073228e-07	-9.895762057265944e-07	3.4615405479527795e-05	0.001340002547105925
cg00421363	-1.8551513652931284e-07	1.6662505601325316e-09	7.358614222430227e-07	-1.535709021310838e-07	5.051782593606768e-06
cg10210594	7.319654809712084e-08	-1.0590562397716497e-07	-7.194153977341244e-07	-2.002853744382804e-06	9.995069614776586e-06
cg07813142	-4.85560410652397e-05	-6.698172751669062e-05	-0.00023692454078684479	0.0012867420400610285	-0.006945941555956665
cg09652652	7.743233115434123e-05	3.866129459311196e-06	-5.40387868702652e-05	-0.001033186378172104	0.001261207760490971
cg14537533	-8.045556015578992e-08	7.655708848641751e-08	-6.171495487395165e-08	-3.7254214096948957e-07	-6.497079748823687e-06
cg05302386	-2.685050377992937e-07	-1.065497153396322e-07	-2.873705671274651e-07	8.580158822137919e-06	-4.833437661874384e-05
cg17510056	-1.305024352360462e-08	-1.9881815465305764e-07	-5.8151115873705806e-08	-5.707627739104382e-08	-1.8570696831343714e-06
cg16642284	-2.5381092262133364e-07	-2.7190520351605405e-07	4.2475815966767827e-07	2.841555526356121e-07	-3.9596532484370565e-06
cg22943986	-0.00025173308730462194	4.916223327967373e-05	0.0001829949091840888	0.0004113326039214371	-0.0018593786903875298
cg13895235	2.0281026286355086e-05	-1.782905814728508e-05	-7.884337373198491e-06	-0.00011298619856304981	-0.0012083025866812846
cg21126344	2.5195839269409604e-07	-4.2901454667232385e-07	-1.7122200162281164e-06	-1.8297216860219122e-06	2.6847698559446798e-05
cg14487131	-3.1011567886984895e-08	-2.27930865052961e-08	-1.2118310119213492e-07	3.487479285024797e-08	-1.2728706368301257e-05
cg27363829	2.0779114761962368e-08	-3.7309964372372883e-07	8.883868930675831e-07	1.2741709937036383e-07	-3.96010001746605e-06
cg15006175	-1.7207544660530204e-07	2.6587021080548557e-08	1.1951567534917994e-07	-2.0761570578342603e-07	9.82891439214595e-06
cg27219841	-2.0081490805595735e-07	-6.416299767469935e-09	-1.059596033509136e-07	2.6764717492966383e-07	-2.1548644210012124e-06
cg14204784	-2.782745760779304e-08	1.1662503929229031e-08	-3.529115585154674e-08	7.822613129215839e-07	1.4683364195220427e-05
cg12019614	9.992907884961988e-08	-1.9079552219501e-07	2.1711569439059053e-07	1.981817205434222e-06	8.117757845002571e-07
cg04948892	-6.323440784399282e-05	5.654748915389973e-05	-0.0011474702883811005	-0.0032472699367554012	0.010483354386786914
cg09296001	3.5334234951833746e-08	4.784009100256004e-09	7.428379426022146e-08	6.000171884079642e-07	1.266104764936285e-06
cg06936564	1.0129475822004408e-07	-7.9904447303214e-08	3.8851800356898284e-08	-9.017460798496635e-08	3.3938650896550016e-05
cg14769786	-2.1121062273310453e-07	2.406940907695443e-09	1.1545399914753007e-06	5.8605831960489855e-06	7.405145442833661e-05
cg27071152	-1.6032144836657382e-05	9.372779936606678e-06	-4.292999410139941e-05	5.420596051536108e-05	-0.0009293464325179457
cg19980771	2.4697858866135504e-08	-1.037765964845283e-07	-6.94379765024504e-08	-6.239840696048438e-07	8.91419163093321e-06
cg17202313	-3.8222373306529e-07	2.985118411169552e-07	-8.863925506352732e-07	-3.4478209399040753e-07	-4.991995704628216e-06
cg18543270	-1.142305462598081e-07	-2.800889721843447e-07	2.96812008734465e-07	-1.6696018870140938e-06	1.2404434163206802e-05
cg07393736	-0.00019245704101322758	-0.00024119421579570143	-4.938573632813359e-06	0.0019134598121533486	-0.00012416022680540096
cg25145765	3.78723989613583e-09	-1.720817423033101e-08	-2.7102471453254243e-08	2.2609141052565286e-07	-3.463202902465046e-07
cg26866482	-2.6709905104116416e-07	-2.7973245255275e-07	-1.946862585996967e-07	1.3119032550301667e-07	6.44853165074788e-06
cg11630939	-2.0292867570437244e-07	-2.2490206608855036e-08	-2.2813468204384985e-08	-3.607361135499754e-06	6.051672558991389e-06
cg09798888	-2.0102039931524375e-07	-8.253378300460134e-08	2.4557559467375255e-06	2.3921514644587027e-07	4.716688449479034e-05
cg14262681	-4.024732360857763e-09	-3.268669078598796e-09	-3.8439854631801444e-08	1.6627945517586062e-07	4.0543498116052403e-07
cg12928379	-2.6886225021338638e-08	-1.538487717822612e-07	-2.910630458191621e-07	-1.448594771948919e-06	-1.3675273520851461e-05
